kings	Karalis.
plūma	Plūma tauki - iekšas tauki (dzīvnieku taukaudi, kas atrodas nieru apvidū).
vuška	Uts.
minka	Kaķis.
štara	Zars.
burte	Matu saite.
golfs	Sporta spēle, kurā bumbiņa ar nūju jāieraida laukuma bedrītēs.
lerla	Novalkāti, noplīsuši svārki.
dzeņa	Dzeinis.
junga	Pusaudzis, kas uz kuģa mācās par matrozi, kā arī veic dažādus darbus.
agres	Ērkšķogas ("Grossularia").
tolis	Gļēvs puisis.
sigma	Grieķu alfabēta 18. burts.
vilta	Viltus.
āpana	Ezoterismā tā apzīmē visu, kas saistīts ar izdalījumiem no dažādiem orgāniem, procesiem tajos utt.; cilvēka aurā tā parādoties kā tumši sarkans starojums, kas reizēm kļūst tumši brūngani sarkans.
ouzas	Auzas.
liets	Derīgs, lietojams.
palte	Neliels miests, apmetne pie pils vai baznīcas viduslaikos Livonijā.
skans	Skaņa.
šūpas	Šūpulis.
razas	Drazas, atliekas taukus tecinot.
žīģis	Vajadzība, iemesls.
ronis	Zīdītāju klases plēsēju kārtas dzimta ("Phocidae"), kurā ietilpst lieli un vidēji lieli dzīvnieki, kas labi pielāgojušies dzīvei ūdenī (galvenokārt aukstās un mērenās joslas jūrās) un kam raksturīgs vārpstveida ķermenis, peldēšanai pielāgotas ekstremitātes, 10 ģintis, 19 sugu, Baltijas jūrā konstatētas 2 ģ., 3 sugas.
erogs	Kārtība, sakārtojums.
grams	Masas mērvienība, kas vienāda ar vienu kilograma tūkstošdaļu.
tizis	Sievietes krūts, piena dziedzeris.
penka	Nauda.
rēkas	Klepus, aizsmakums.
šilks	Zīds.
baila	Bailes.
frišs	Mundrs.
čalus	Pļāpas, tenkas.
krāva	Kaudze.
aliča	Kaukāza plūme ("Prunus divaricata").
kļīma	Rīma, badakāsis.
kosja	Tūkstoš latu.
šmara	Meitene (parasti nepievilcīga).
ņidrs	Ar satrunējušu serdi, dobs.
žogus	Žogs 1.
laita	Puve, puvums.
plaks	Līdzenums.
džūda	Meitene.
šūkne	Sūksne.
gāzme	Spēcīga (lietus) līšana, spēcīgs lietus; spēcīga (vēja) brāzma.
fonts	Griba; patika; vēlēšanās.
mūķis	Rīks, ko izmanto slēgšanai īstās atslēgas vietā.
deive	Dāvana.
ieris	Iere - iedobums krāsns mūrī (kur var ko žāvēt, sildīt).
klejs	Klajš.
čānis	Galva.
allis	Stabs, miets purvā.
dārgs	Ļoti vērtīgs.
aleja	Ceļš vai iela, kam abas puses apstādītas ar kokiem, krūmiem; gatve.
gorls	Tinis 1.
bruds	Asiņains šķidrums, kas izdalās no brūces, augoņiem u. tml.
honda	Automobiļu un motociklu marka.
paeža	Ežas zemākā vieta.
horas	Grieķu mitoloģijā - dievietes, kas seko cilvēka dzīves likumsakarīgajam ritējumam: Einomija ("likumība"), Dike ("taisnīgums") un Eirēne ("miers"); arī gadalaiku dievietes.
ilgis	Ilgi.
olīgs	Kustīgs, darbīgs, strādīgs.
vulks	Vilks.
meita	Sieviešu dzimuma bērns (attiecībā pret vecākiem).
censs	Cenzs.
tauks	Tāds, kas satur daudz tauku (parasti par pārtikas produktiem, uzturu); trekns (1).
opāls	Bezkrāsains, balts, iedzeltens, sarkans, retāk citas krāsas minerāls (dārgakmens vai pusdārgakmens), reizumis ar varavīkšņainu lāsmojumu.
griba	Lieto savienojumā "gribu grabu" lai atdarinātu grabošu troksni.
pārba	Krāsviela.
dānts	Zobs.
talja	Taļļa (1).
čiras	Čivināšana.
pļura	Šķidra biezputra.
knūza	Nūja, kūja.
oboja	Koka pūšamais instruments ar divkāršu niedres mēlīti, kas pēc skanējuma ir aptuveni vidējs starp flautu un klarneti.
raups	Aukstumā sarāvusies āda - "cāļa miesa".
aksts	Ātrs, mudīgs, žigls.
blome	Plūme (auglis).
pluss	Zīme ( + ), ar ko apzīmē saskaitīšanu vai pozitīvu lielumu.
knīda	Gnīda (1).
tauņa	Ziņkārīgs taujātājs.
ftīze	Dilonis, izdiluma stāvoklis.
kupre	Kupris.
ausla	Ausleja - baltzivju pasugas zivs.
mioze	Nenormāls zīlīšu sašaurinājums.
domis	Dziļa vieta upē, atvars.
kurns	Kurls, nedzirdīgs.
mārte	Līgava, jaunava.
oļīgs	Tūļīgs.
glāba	Iztika, pārtika.
sūdra	Indiešu zemākā kasta, kas cēlusies no uzvarētiem iedzimtniekiem.
aicis	Zirgs.
prīde	Meža priede ("Pinus sylvestris").
ļumza	Neveiklis, lempis.
bleķe	Skārds; skārda priekšmets.
ķēzis	Netīrelis, smulis, kaut kas nešķīsts.
utāda	Uts āda.
nītes	Nītis.
tiece	Darbība, process --> tiekties (1).
panas	Paniņas.
knīde	Kniede.
kaušs	Apaļš jeb iegarens dzelzs gredzens ar izliektu iekšējo un ieliektu ārējo malu, ko iespleisē virves cilpās lai tās netiktu saberztas; cilpturis.
ārods	Arods 1.
salde	Saldums.
spika	Lokana kārklu vica; stiba, nūja; makšķerkāts; spiga.
kriks	Krikš.
kluba	Sarīkojums ar dejām.
forts	Nocietinājums (parasti liels) vai nocietinājumu sistēma.
ņirva	Mazumiņš.
unste	Ūsas.
cimts	Kanēlis, cimta koks, tā miza, garšviela.
murda	Murds.
slābs	Gurdens (par cilvēkiem vai dzīvniekiem); slābans.
tabes	Nīkšana, sapūšana.
spīre	Koka lauznis.
pursa	Govs purns.
urkas	Rupjas, mājās darinātas mežģīnes.
spire	Auzu vai cita auga skara; apiņu galviņa.
sunka	Soma.
svīns	Netīrs.
maura	Maura skarene ("Poa annua").
plīšs	Plūksnains, pamīksts kokvilnas audums (parasti mēbeļu pārvilkšanai).
dulis	Dūmi, kas rodas sadedzinot bojātus kokus.
krūts	Stāvs pakalns.
džobs	Darbs.
ponte	Punte, puns.
prava	Remonts, labojums.
stute	Balsts (1); balstkoks.
pitka	Dzērājs, diedelnieks.
katls	Cilindrveida vai puslodes veida (metāla) trauks (parasti kā vārīšanai).
ajēgs	Nejēga.
hiršs	Dažās kāršu spēlēs, piem., bridžā, tarokā u. c. atbildes paņēmiens uz pretinieka "suprā" un spēles likmes sešpadsmitkāršošana; mords.
rēķis	Brēkulis, raudulis, bļāva.
tinks	Apmetums.
ķocka	Cilvēks, kas mēdz bieži traipīties, ziesties (ar ko).
štora	Biezs loga aizkars.
šļepe	Zvejas rīks - velce.
okris	Okra.
āgama	Ezoterisma Svētie raksti jeb Tibetā - Tantra; vārds var tikt lietots arī, lai apzīmētu jebkuru rīcību, kas saistīta ar mistisku jeb metafizisku kultu.
nercs	Zvērkopībā - Amerikas ūdele.
klifs	Stāva ezera vai jūras krasta krauja, kas izveidojusies abrāzijas rezultātā.
varde	Naktssarga saimniecības apgaita.
gelee	Želeja.
drūga	Vieta, kur upes straume ieplūst jūrā (vai ezerā).
goris	Gārnis (putns).
šipla	Kāds, kurš pastāvīgi vīpsnā.
knīpe	Zvejas āķis, ar kuru tīkla kārts tiek nostiprināta zem ledus.
klajs	Ar mežu neapaugusi vieta; klajums.
grafs	Figūra, ko veido ar līnijām savienoti punkti un ko parasti izmanto, lai shematiski attēlotu kādu objektu vai norisi.
lekņa	Purvaina, staigna vieta.
klipe	Četrstūrainas sudraba monētas, kas bija apgrozībā Livonijā 16. gs.
talše	Četrlapu čūskoga ("Paris quadrifolia").
čāska	No koka mizas gatavota turza, tūta (ogošanai).
tulpe	Liliju dzimtas ģints ("Tulipa"), daudzgadīgs augs ar vienu ziedu, retāk ar vairākiem ziediem stublāja galā, >100 s., Latvijā ne visai bieži sastopama savvaļā pārgājusī meža tulpe, Latvijā audzē ~1000 šķirņu.
īdens	Bēdīgs, noskumis.
bails	Bailīgs, bikls, nedrošs.
vītrs	Nepatstāvīgs, nenobriedis.
kirke	Lempis.
notis	Nots 1.
šķēle	No pārtikas produkta (piemēram, maizes klaipa, gaļas, siera) atdalīts samērā plāns gabals.
guībs	Nespēcīgs, gļēvs.
čaupe	Izrotājums, greznojums.
oncia	Sicīlijas un Neapoles zelta monēta, pirmoreiz kalta 1735. g. Palermo.
gārce	Gārsa.
sūris	Sūrpienis.
liens	Augšanas apstākļu ietekmē radies ciets, grūti zāģējams gadskārtu paplašinājums (skujkoka) stumbra vienā pusē; liels 2(2).
bārgs	Bargs.
voits	Polijas pagastos (gminās) vecākais; arī Latgalē poļu laikos.
mākls	Prasme, mācība.
nozze	Kāzas.
mērde	Inde.
tupsa	Cekulaina vista.
kotka	Melns dzīvnieks, putns; jūras vanags.
skavs	Skava.
kukns	No kārtīm saslieta virtuve (pagalmā).
dongs	Vjetnamas naudas pamatvienība.
kepka	Žokejcepure; cepure ar nagu.
slems	Šlems.
zilis	Zilā kāpnīte ("Polemonium coerulea").
azīls	Vieta, kur izbēdzis noziedznieks baudīja neaizskaramību (altāri, tempļi u. c.).
grans	Masas mērvienība (gr) angļu mēru sistēmā (1/480 vai 1/431,5 unces).
žubis	Žubīte.
naras	Kārtis, ko liek uz ragavām.
ossia	Vai, arī; apzīmē pieļaujamu variantu, parasti atvieglinātu.
cēses	Cīsas - miežu un auzu kopiņas.
brača	Stīgu instruments, alts; alta vijole.
jazis	Ālants.
punna	Puns.
cupis	Matu kušķis.
vaska	Vasks.
duole	Divdaļu ritmiska figūra, kas rodas, dalot divās dalās vienkāršu trijdaļu takti vai atbilstošas saliktas takts daļu.
fucus	Fuki.
lifts	Stacionārs transportlīdzeklis, parasti kabīnes vai platformas veidā, (kā) pārvietošanai vertikāli, samērā lielā augstumā.
trule	Vagonete.
beris	10.-18. g. vecs zēns.
šluta	Platcirvis slīperu malu apdarināšanai, nolīdzināšanai; šlute; šļuta; šļute.
donis	Bundulis, koka sviesta trauks.
piris	Sēņu piris - lamuvārds sliktam cilvēkam.
kauns	Morālas jūtas, kas saistītas ar nepatīkamu pārdzīvojumu, piemēram, par kādu nodarījumu, rīcību.
lūžņa	Bojātu, lietošanai nederīgu, arī nekārtīgi novietotu priekšmetu kopums; vieta, kur atrodas šādi priekšmeti.
burde	Lente, apšuve.
bložs	Blīvs, ciets, kompakts.
abate	Katoļu mūķeņu klostera priekšniece.
lauda	Rīta lūgšana Romas katoļu baznīcā.
gutta	Piliens, pilienveidīgs traips.
plovs	Ēdiens no rīsiem un gaļas, dārzeņiem, augļiem ar dažādu garšvielu piedevām.
žauks	Apraksta pēkšņu, ātru darbību, grāvienu.
mezza	Mērens, vidējs.
vanna	Ietilpīgs, parasti garens, trauks (piemēram, skārda, koka), tilpe (piemēram, emaljēta čuguna) ar noapaļotām malām, kurā mazgājas vai ko mazgā.
kaška	Veclaiku būvēs, kur dzelzi nelietoja, stenderē iedzīts koka kāsis, uz kura durvju eņģes jeb pakari uzmaukti.
lācis	Plēsēju kārtas dzimta ("Ursidae"), kurā ietilpst lieli dzīvnieki ar masīvu ķermeni, biezu apmatojumu, īsu kaklu, strupu asti, 6 ģintis, 7 sugas, Latvijā sastopams tikai brūnais lācis, 21. gs. sākumā ~10 īpatņi.
žaiga	Rīkste.
škūsa	Tīruma kosa ("Equisetum arvense").
fonds	Tas, kas ir (kā) krājums, rezerve.
glēme	Gļotas.
ķēkša	Virēja, virtuvene.
ķevka	Dem. --> ķēve.
losms	Krituši augļi dārzā.
ņaija	Kneija.
šanse	Amats.
khīrs	Indiešu virtuves ēdiens: saldie rīsi.
vinga	Linga.
zunds	Jūras šaurums starp divām salām vai starp salu un cietzemi.
knikš	Lieto, lai atdarinātu īslaicīgu, paklusu troksni, kas rodas, piemēram, lūstot, plaisājot tieviem koka priekšmetiem, strauji saskaroties nelieliem metāla priekšmetiem.
ploss	Palaidnīgs, neaudzināts, nevaldāms.
dākla	Kārumnieks, rīma.
moles	Smagums, klints, valnis, liela celtne.
ļenka	Durvīs iestiprināta metāla detaļa, ko uzmauc uz stenderē iestiprinātas dzinteles (durvju slēgšanai ar piekaramo atslēgu).
umbra	Brūna krāsviela, kas sastāv no mālainas vielas ar dzelzs vai mangāna oksīda piemaisījumu; attiecīgā krāsa.
bjazs	Kokvilnas audekla pinuma audums, blīvāks un rupjāks nekā katūns.
pīpis	Pīpe.
čapas	Kāpostu lapas liellopiem.
ķeire	Nūja ripu sišanai (ķeija).
dreve	Veca, bieza miza.
uzeja	Vieta, kas paredzēta nokļūšanai kur augšā.
tūkss	Tūkšis.
arubs	Liels nogurums.
saržs	Kokvilnas vai zīda audums ar sīkām, šķērsām rieviņām.
cebus	Kapucpērtiķi jeb kapucīni.
deīse	Lūgšanas ainas ikonogrāfisks attēlojums gk. Bizantijas un senkrievu glezniecībā.
vinds	Akas vinda.
freda	Ģermāņu tiesībās t. s. miera nauda.
bolus	Vairāk vai mazāk tīri māli; atkarībā no dzelzs oksīda piemaisījuma krāsa dzeltena līdz brūnai.
čagas	Apstrādātu ogu, augļu atliekas.
lapse	Lapsa.
denis	Trīsstūrveida sēdeklis laivas priekšgalā un pakaļgalā.
plods	Pludiņš; koksne zvejas pludiņu izgatavošanai.
tembe	Dažos Austrumāfrikas apvidos sastopams dzīvojamās ēkas tips, parasti 8 m gara, 4 m plata un 2 m augsta, segta ar lēzenu jumtu, nereti līdz pusei iegremdēta zemē, ar zaru pinuma un mālu apmetuma sienām.
cīsas	Miežu un auzu kopiņas.
santa	Svētā.
dūņas	Dūnas.
zārks	Īpaši veidots garens, aizdarāms kastveida priekšmets, kurā ievieto un apglabā mirušo.
vīlas	Slāvu mitoloģijā - sieviešu kārtas gari, daiļas jaunavas ar gariem, vaļā palaistiem matiem, kas bija mirušas nekristītas.
celis	Locītava, kas savieno kājas augšstilbu ar apakšstilbu; arī ceļgals.
juaņa	Naudas vienība (Ķīnā); attiecīgā naudas zīme, monēta.
verte	Apgriez; skaties otrā pusē.
piona	Ūdensērču grupas ģints.
lodža	Lapene, arī halle ar vienu vai vairākām atklātām sienām.
špala	Dzelzceļa gulsnis.
pulte	Pults.
danza	Deja.
šļūka	Slapjdraņķis.
šizis	Dīvains, nenormāls cilvēks.
poiša	Sīknauda Bangladešas Tautas Republikā, takas simtdaļa.
vargs	Vergs.
salds	Tāds, kam ir, piemēram, cukuram, medum raksturīgā garša.
pudre	Puduris, bars, bariņš.
žučka	Zagle.
daigs	Gara kārts.
remis	Neizšķirta spēle.
ļegas	Tenkas.
lochs	Grieķu karaspēka nodaļa (atbilst romiešu centūrijai); atēniešiem 80-100 karavīru, spartiešiem 200, maķedoniešim 16.
piļka	Svina zivtiņa 8-10 cm garumā un 2-3 cm platumā ar galvas galā iestiprinātu āķi un caurumiņu astes galā, kurā iesien auklu, lietoja mencu zvejai, kapelēšanai.
skāņs	Mazliet skābs; arī ieskābis.
nikas	Mājas.
grāte	Metāla paliekas uz izstrādājuma virsmas, kuras rodas tehnoloģiskā procesa starpoperācijā.
petļa	Ādas vai auduma cilpa paģērba aizpogāšanai.
vīžņa	Sliņķis, kas nekārtīgi strādā.
spics	Smails.
knute	Tieva kārts salmu nostiprināšanai uz jumta.
lišns	Lieks.
ļēpis	Cilvēks, kas iet neveiklā gaitā, velkot kājas gar zemi; ļēpucis.
kinis	Kinofilma; kinofilmas izrāde.
ēnīgs	Spokains.
sorgs	Āzijā un Āfrikā iedzimtniekiem svarīgākā labība.
purns	Galvas priekšējā daļa ar muti un nāsīm (mugurkaulniekiem, izņemot putnus).
tvīds	Plāns vilnas vai pusvilnas audums (piemēram, starpsezonu mēteļiem, kostīmiem).
tenka	Runa, pļāpa; tenkas.
mukns	Staigns, pārmēru mitrs (par augsni), purvains.
oņera	Auša, blēņdaris, draiskulis.
īliņš	Ass vējš, vēja tūce.
stega	Dzimumloceklis.
elele	Lieto, lai paustu izsmieklu, zobgalīgu attieksmi; el.
kruva	Nemierīga govs.
pants	Vaibsti.
čačas	Zārds; miets ar šķērskokiem.
križa	Kaut kas vecs un nevērtīgs, grabažas, nieki.
agave	Agaves.
ļaļka	Lelle.
zamšs	Mīksta, īpaši izstrādāta plūksnaina āda.
bauga	Klucītis pie zvejnieku vada.
bieds	Tas, kas biedē (1); tas, kas iedveš bailes.
svila	Rudmatis, sarkangalvis.
grava	Tekošu ūdeņu izveidots vagveida padziļinājums, ieleja ar stāvām nogāzēm.
pūrce	Dusmīgi ņurdoša sieviete.
brāze	Liela cilvēku drūzma, burza; drūzmēšanās, saspiešanās.
čīlis	Četrinieks (atzīme skolā).
āsana	Jogas vingrinājumu un pozu kopējais nosaukums, kur katram atsevišķam vingrinājumam ir savs nosaukums un savs uzdevums: paātrināt vai palēnināt asinsriti, izmainīt ķermeņa elektromagnētisko polaritāti vai atvieglot enerģijas apmaiņu ar pretējā dzimuma partneri; pavisam zināmas 84 āsanas.
kupčs	Uzpircējs, tirgotājs; arī pircējs.
buģis	Cilvēks, kam nepieciešama skubināšana, pamudinājums; kāds, kurš ir saīdzis, sliktā omā.
manss	Dzīvojamo un saimniecisko ēku komplekss, kas kopā ar zemes valdījumu veidoja zemnieku saimniecību viduslaikos Rietumeiropā.
rieks	Rieciens.
jūdra	Sējas idra ("Camelina sativa").
seris	Sars.
komeš	Kopš; kamēr.
skebs	Streiklauzis (Anglijā un ASV).
ģilda	Vārgs, noliesējis cilvēks.
ētoss	Morāles normu, principu un ideālu kopums, kas ir pamatā sabiedrības tikumiskajai pārliecībai un virza indivīdu darbību.
bhoga	Hinduismā ceļš uz garīgu pilnību un atbrīvotību, jutekliski iepazīstot visus miesīgās dzīves priekus.
cērpe	Cirpšana.
meile	Mīla, mīlestība.
sāģis	Ciems.
pučis	Kāravs (kāršu spēlē).
seska	Sestdienā dzimušas govs vārds.
špīrs	Tievs baļķis; masta koks.
anīss	Čemurziežu dzimtas ģints ("Anisum"), viengadīgi lakstaugi ar plūksnainām lapām, Vidusjūras apkārtnē, 2 s.
sinus	Sinuss.
skūps	Skops.
šaiba	Ripa (parasti hokejā).
ļeins	Leins, kleins.
čakls	Tāds, kas daudz un labi strādā, dara ko; strādīgs, darbīgs.
avele	Putnu būrītis.
vadga	Rīks āliņģa izciršanai ledū; cērte.
miels	Mīļš.
teice	Runas dāvanas.
zīmes	Liels daudzums, pārmērīgi daudz.
bumba	Ierīce, kurā ir sprāgstviela, deglis un kura paredzēta nomešanai no lidaparāta vai kuģa.
varle	Varde.
jolka	Egle; Ziemassvētku eglīte.
šapka	Olas resnais gals.
smels	Sveķains koks; sveķaina koka gabals.
čauča	Audēju spolīte jeb niedra, uz kuras tin dziju vai diegus aušanai; kauce.
flora	Vēsturiski izveidojies augu sugu kopums (piemēram, noteiktā teritorijā, ainavā, ģeoloģiskajā laikmetā); augu valsts.
ķiķis	Tabakas zelētājs.
skume	Skumjas.
keils	Kuilis.
špīne	Dzintele.
brads	Brasls - sekla, pārbrienama vieta upē.
lares	Seno etrusku un romiešu sargdieviņi (sevišķi mājas un ģimenes dieviņi).
trēns	Dekoratīvs (parasti kleitas) mugurpuses pagarinājums, kas skar zemi vai slīd pa zemi; velce.
čaprs	Slikts, vārgs.
peļcs	Kokmateriāla šķautne (parasti durvju dēļiem, logu rāmjiem, mēbelēm).
ņerka	Raudulīgs cilvēks, bērns.
zaļgs	Zaļgans.
sakne	Augstāko augu veģetatīvais orgāns, kas nostiprina augu augsnē, uzsūc ūdeni un tajā izšķīdušās minerālvielas, sintezē organiskas vielas un sekmē to pārvietošanos uz citiem orgāniem, izdala vielmaiņas produktus.
jēdze	Jēga (2).
packa	Neveikls gājējs.
sukna	Vadmala, tūks.
gurta	Plāna gļotaina ūdensaugu kārta stāvošu ūdeņu virsū.
laste	Lasts - sens tilpuma, arī kuģa kravas svara mērs labībai, sālim, alum.
upine	Upene (augs).
caune	Cauna.
kalla	Daudzgadīgs lakstaugs ar garkātainām tumši zaļām bultveida lapām un lieliem, baltiem ziediem.
musts	Melns.
azute	Azote.
arējs	Tas, kas pašlaik ar; pretstats: arājs, kam aršana pastāvīgs darbs.
zaigs	Tāds, kas zaigo, tāds, kam ir raksturīgs zaigojums.
abaka	Šķiedra, kas iegūta no šķiedras banāna ("Musa textilis") lapām; no tās izgatavo kuģu takelāžas piederumus, tauvas, virves.
beņķe	Sols, msoliņš.
bļaha	Lieto kā lamuvārda "bļeģ" aizstājēju.
špaga	Paukošanas ierocis ar elastīgu trīsšķautņu asmeni, kam ir uzskrūvējams uzgalis.
glošs	Gluds, slidens, glums.
mālis	Piedzēries cilvēks.
dilas	Kāds ūdensaugs ar sīkām lapiņām.
lamba	Liels, slinks, gļēvs cilvēks; arī liels dzivnieks.
grave	Ļoti lēni, smagi, svinīgi.
jurta	Pārvietojams mājoklis tjurku un mongoļu klejotājtautām; sastāv no koka karkasa un filca pārklājuma.
aļots	Zaļganīgs.
skoks	Laupīšana.
tisls	Klibs, tizls.
maiņa	Purvs, muklājs.
cērte	Vienā galā uzasināts āmurs (piemēram, akmeņu skaldīšanai).
gāzts	Slīps.
jezga	Troksnis, kņada.
smags	Tāds, kam ir liela masa, liels svars, tāds, kas pēc masas, svara pārsniedz ko citu, līdzīgu; pretstats; viegls (1).
cunis	Gabals.
ņaņka	Aukle.
cikas	Sīkas krokas, kruzuļi.
zinga	Ziņģe.
greča	Tāds, kas daudz greznojas.
kulne	Papēdis.
kakls	Ķermeņa daļa starp galvu un vidukli.
terca	Intervāls - trīs vai četri pustoņi.
spals	Detaļa (piemēram, darbarīkam, instrumentam), kas ir paredzēta aptveršanai ar roku un parasti izveidota taisnā virzienā attiecībā pret darbīgās daļas asi.
perhs	Cilvēks, kas nezina, ka kontaktējas ar noziedzniekiem.
kolma	Kalme.
mūsos	Lokatīvs no "mēs".
coins	Lielisks.
buzda	Runga, nūja, sprungulis.
kupšs	Tirgotājs.
rasma	Auglīgums.
naģis	Vadātājs jeb gars, kas maldina ceļinieku.
gaima	Liels bars.
blūme	Plūme (koks).
čočis	Glemežvāks.
skola	Mācību un audzināšanas iestāde, parasti zemākās vai vidējās vispārējās, arī speciālās izglītības iegūšanai; celtne, kurā darbojas šāda iestāde.
veids	Viena no vairākām (kā) eksistences izpausmēm.
kvaga	Zirgu ģints suga ("Equus quagga"), stepes zebra, iznīcināta 19. gs.; pēdējā nobeigusies 1883. g. Amsterdamas zooloģiskajā dārzā.
feiss	Seja.
pļāve	Pļava.
razga	Slotraža - nodeldēta slota.
lītņa	Lietains laiks.
horda	Taisnes nogrieznis, kas savieno divus riņķa līnijas punktus.
pīnis	Pīne.
glesa	Maiga vēja plūsma.
peine	Pīne.
mazie	Mazā zāle (teātrī); aktieri, izrādes, kas notiek mazajā zālē.
bonds	Obligācija; bankas saistību raksts.
lepis	Kaut kas mīksts, smags, nedzīvs; lempis.
pēdis	Pēc tam, vēlāk.
pūris	Kvieši ("Triticum hibernum").
