dowve	A dove.
colic	A severe paroxysmal pain in the abdomen, due to spasm, obstruction, or distention of some one of the hollow viscera.
naiad	A water nymph; one of the lower female divinities, fabled to preside over some body of fresh water, as a lake, river, brook, or fountain.
tooth	One of the hard, bony appendages which are borne on the jaws, or on other bones in the walls of the mouth or pharynx of most vertebrates, and which usually aid in the prehension and mastication of food.
brawn	A muscle; flesh.
escot	See Scot, a tax.
purge	The act of purging.
serge	A large wax candle used in the ceremonies of various churches.
styan	See Sty, a boil.
curio	Any curiosity{3} or article of virtu; any object esteemed for its unusual nature.
dolly	A child's mane for a doll.
basso	The double bass, or contrabasso.
tacky	An ill-conditioned, ill-fed, or neglected horse; also, a person in a like condition.
sewin	Same as Sewen.
koord	See Kurd.
paeon	A foot of four syllables, one long and three short, admitting of four combinations, according to the place of the long syllable.
latte	Same as cafe latte; a type of espresso coffee served with foamy steamed milk, and usually served in a tall glass or mug.
myops	See Myope.
coble	A flat-floored fishing boat with a lug sail, and a drop rudder extending from two to four feet below the keel. It was originally used on the stormy coast of Yorkshire, England.
henry	The unit of electric induction; the induction in a circuit when the electro-motive force induced in this circuit is one volt, while the inducing current varies at the rate of one amp<egrave/re a second.
slide	The act of sliding; as, a slide on the ice.
tatou	The giant armadillo (Priodontes gigas) of tropical South America. It becomes nearly five feet long including the tail. It is noted for its burrowing powers, feeds largely upon dead animals, and sometimes invades human graves.
azoth	The universal remedy of Paracelsus.
kiley	An Australian boomerang, having one side flat and the other convex.
craze	Craziness; insanity.
pubis	The ventral and anterior of the three principal bones composing either half of the pelvis; sharebone; pubic bone.
dutch	The people of Holland; Dutchmen.
jasey	A wig; -- so called, perhaps, from being made of, or resembling, Jersey yarn.
raven	Rapine; rapacity.
dowel	A pin, or block, of wood or metal, fitting into holes in the abutting portions of two pieces, and being partly in one piece and partly in the other, to keep them in their proper relative position.
nonne	A nun.
study	To fix the mind closely upon a subject; to dwell upon anything in thought; to muse; to ponder.
asset	Any article or separable part of one's assets.
pouch	A small bag; usually, a leathern bag; as, a pouch for money; a shot pouch; a mail pouch, etc.
patee	See Pattee.
rabbi	Master; lord; teacher; -- a Jewish title of respect or honor for a teacher or doctor of the law.
algor	Cold; chilliness.
covin	A collusive agreement between two or more persons to prejudice a third.
panim	See Painim.
udder	The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma.
pishu	The Canada lynx.
swink	Labor; toil; drudgery.
blink	A glimpse or glance.
octet	A composition for eight parts, usually for eight solo instruments or voices.
boron	A nonmetallic element occurring abundantly in borax. It is reduced with difficulty to the free state, when it can be obtained in several different forms; viz., as a substance of a deep olive color, in a semimetallic form, and in colorless quadratic crystals similar to the diamond in hardness and other properties. It occurs in nature also in boracite, datolite, tourmaline, and some other minerals. Atomic number 5. Atomic weight 10.81. Symbol B.
limit	That which terminates, circumscribes, restrains, or confines; the bound, border, or edge; the utmost extent; as, the limit of a walk, of a town, of a country; the limits of human knowledge or endeavor.
facet	A little face; a small, plane surface; as, the facets of a diamond.
owner	One who owns; a rightful proprietor; one who has the legal or rightful title, whether he is the possessor or not.
chief	The head or leader of any body of men; a commander, as of an army; a head man, as of a tribe, clan, or family; a person in authority who directs the work of others; the principal actor or agent.
crumb	A small fragment or piece; especially, a small piece of bread or other food, broken or cut off.
werre	War.
fadge	A small flat loaf or thick cake; also, a fagot.
fable	A Feigned story or tale, intended to instruct or amuse; a fictitious narration intended to enforce some useful truth or precept; an apologue.  See the Note under Apologue.
jugum	A pair of the opposite leaflets of a pinnate plant.
titty	A little teat; a nipple.
sixty	The sum of six times ten; sixty units or objects.
troat	The cry of a buck in rutting time.
friar	A brother or member of any religious order, but especially of one of the four mendicant orders, viz: (a) Minors, Gray Friars, or Franciscans. (b) Augustines. (c) Dominicans or Black Friars. (d) White Friars or Carmelites. See these names in the Vocabulary.
mavis	The European throstle or song thrush (Turdus musicus).
motte	A clump of trees in a prairie.
bathe	The immersion of the body in water; as, to take one's usual bathe.
eisel	Vinegar; verjuice.
simar	A woman's long dress or robe; also light covering; a scarf.
singe	A burning of the surface; a slight burn.
vague	A wandering; a vagary.
oread	One of the nymphs of mountains and grottoes.
picul	A commercial weight varying in different countries and for different commodities. In Borneo it is 135<frac58/ lbs.; in China and Sumatra, 133<frac12/ lbs.; in Japan, 133<frac13/ lbs.; but sometimes 130 lbs., etc. Called also, by the Chinese, tan.
shake	The act or result of shaking; a vacillating or wavering motion; a rapid motion one way and other; a trembling, quaking, or shivering; agitation.
vasum	A genus including several species of large marine gastropods having massive pyriform shells, with conspicuous folds on the columella.
verst	A Russian measure of length containing 3,500 English feet.
wooer	One who wooes; one who courts or solicits in love; a suitor.
frond	The organ formed by the combination or union into one body of stem and leaf, and often bearing the fructification; as, the frond of a fern or of a lichen or seaweed; also, the peculiar leaf of a palm tree.
shunt	A turning off to a side or short track, that the principal track may be left free.
matin	Morning.
ullet	A European owl (Syrnium aluco) of a tawny color; -- called also uluia.
cloff	Formerly an allowance of two pounds in every three hundred weight after the tare and tret are subtracted; now used only in a general sense, of small deductions from the original weight.
janus	A Latin deity represented with two faces looking in opposite directions. Numa is said to have dedicated to Janus the covered passage at Rome, near the Forum, which is usually called the Temple of Janus. This passage was open in war and closed in peace.
nucin	See Juglone.
tanka	A kind of boat used in Canton. It is about 25 feet long and is often rowed by women. Called also tankia.
drier	One who, or that which, dries; that which may expel or absorb moisture; a desiccative; as, the sun and a northwesterly wind are great driers of the earth.
guiac	Same as Guaiac.
yield	Amount yielded; product; -- applied especially to products resulting from growth or cultivation.
ovism	The old theory that the egg contains the whole embryo of the future organism and the germs of all subsequent offsprings and is merely awakened to activity by the spermatozoon; -- opposed to spermism or animalculism.
ouphe	A fairy; a goblin; an elf.
paddy	Unhusked rice; -- commonly so called in the East Indies.
fraud	Deception deliberately practiced with a view to gaining an unlawful or unfair advantage; artifice by which the right or interest of another is injured; injurious stratagem; deceit; trick.
